date,time,site_name,cluster,agency_name,material,ticket_no,vehicle_no,transfer_party_name,first_weight,second_weight,net_weight,,,,,,,
2025-06-17,17:19:38,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0001,AP 26 TA 0434,On-Site,25620,9860,15760,,,,,,,
2025-06-17,17:22:13,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0002,AP28TC8081,On-Site,30870,12690,18180,,,,,,,
2025-06-17,18:02:55,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0004,AP28TC8081,On-Site,28330,12640,17830,,,,,,,
2025-06-17,18:35:07,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0005,AP 26 TA 0434,On-Site,25550,9860,15690,,,,,,,
2025-06-17,19:04:59,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0006,AP28TC8081,On-Site,31330,12640,18690,,,,,,,
2025-06-18,10:14:06,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0003,AP 26 TA 0434,On-Site,25550,9860,15690,,,,,,,
2025-06-18,10:29:06,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0007,AP 26 TA 0434,On-Site,22480,9860,12620,,,,,,,
2025-06-18,13:13:24,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0008,AP28TC8081Q,On-Site,31390,12690,18700,,,,,,,
2025-06-18,10:55:55,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0009,AP28TC8081Q,On-Site,31330,12650,18680,,,,,,,
2025-06-18,10:56:36,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0010,AP28TC8081Q,On-Site,28330,12640,15690,,,,,,,
2025-06-18,9:43:46,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0011,AP 26 TA 0434,On-Site,25550,9860,15690,,,,,,,
2025-06-18,10:30:29,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0012,AP 26 TA 0434,On-Site,28330,12630,15700,,,,,,,
2025-06-18,10:57:20,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0013,AP28TC8081Q,On-Site,28170,12650,15520,,,,,,,
2025-06-18,10:57:52,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0014,AP28TC8081Q,On-Site,28330,12650,15680,,,,,,,
2025-06-18,10:31:29,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0015,AP 26 TA 0434,On-Site,26370,12630,13740,,,,,,,
