date,material,net_weight
2025-06-17,Legacy/MSW,86150.0
2025-06-18,Legacy/MSW,1099180.0
2025-06-19,Legacy/MSW,778150.0
2025-06-20,Legacy/MSW,1004270.0
2025-06-21,Legacy/MSW,1193670.0
2025-06-22,Legacy/MSW,1466440.0
2025-06-23,Legacy/MSW,946120.0
2025-06-24,Legacy/MSW,1127520.0
2025-06-24,RDF(REFUSE DERIVED FUEL),21590.0
2025-06-25,Legacy/MSW,1426940.0
2025-06-26,Legacy/MSW,723340.0
2025-06-27,Legacy/MSW,911190.0
2025-06-28,Inert,88890.0
2025-06-28,Legacy/MSW,1180130.0
2025-06-28,Soil,96980.0
2025-06-29,Inert,112760.0
2025-06-29,Legacy/MSW,1151010.0
2025-06-30,Inert,181530.0
2025-06-30,Legacy/MSW,1026580.0
2025-06-30,Soil,35770.0
2025-07-01,Inert,16000.0
2025-07-01,Legacy/MSW,1786900.0
2025-07-02,Legacy/MSW,1119380.0
2025-07-03,Legacy/MSW,957750.0
2025-07-03,Soil,60380.0
2025-07-04,Legacy/MSW,1145480.0
2025-07-04,Soil,260120.0
2025-07-05,Legacy/MSW,420650.0
2025-07-05,Soil,73480.0
